product_category_name,price
Beauty & Health,1288791.93
Watches & Gifts,1238058.16
Bed, Bath & Table,1101957.57
Sports & Leisure,1016747.33
Electronics Accessories,941140.12
Furniture & Decor,765469.02
Home Utilities,661116.49
Cool Stuff,645182.70
Automotive,613828.97
Garden Tools,503763.61
Toys,495482.85
Baby,426589.18
Perfume & Beauty,410653.64
Telephony,334472.16
Office Furniture,285094.87
Computers,241482.61
Stationery,236684.77
Pet Shop,222210.82
Musical Instruments,207974.29
Small Appliances,199096.14
