customer_state,Average_Delivery_Days
SP,10.581318592313611
PR,13.511491360509982
MG,13.915298944900352
DF,14.716767676767677
MS,15.992966002344666
RS,17.120141342756185
GO,17.340600575894694
ES,17.411638853230638
SC,17.548522224808007
RJ,17.747338677881455
TO,18.742603550295858
MT,19.258953168044076
RN,19.842477876106194
AC,20.170212765957448
BA,21.92828685258964
PE,22.02872340425532
CE,22.324165029469548
PB,23.044303797468356
SE,23.248730964467004
PI,23.873462214411248
RO,24.251748251748253
MA,24.394011976047903
PA,26.115211521152116
AM,28.28654970760234
AL,31.189956331877728
AP,32.95238095238095
RR,54.64
