Month,price,Growth_%,Moving_Average
2016-09,132.39,,
2016-10,51068.92,38474.61,
2016-12,10.9,-99.98,17070.736666666668
2017-01,129895.32,1191600.18,60325.04666666667
2017-02,262013.86000000002,101.71,130640.02666666667
2017-03,398002.54,51.9,263303.9066666667
2017-04,380906.35,-4.3,346974.25
2017-05,548341.58,43.96,442416.8233333333
2017-06,456403.29,-16.77,461883.74
2017-07,533613.12,16.92,512785.99666666676
2017-08,596348.21,11.76,528788.2066666667
2017-09,659533.63,10.6,596498.32
2017-10,693510.28,5.15,649797.3733333334
2017-11,1046965.14,50.97,800003.0166666667
2017-12,764915.17,-26.94,835130.1966666668
2018-01,978582.54,27.93,930154.2833333333
2018-02,878915.77,-10.18,874137.8266666668
2018-03,1012214.81,15.17,956571.0400000002
2018-04,1015313.89,0.31,968814.8233333336
2018-05,1019619.29,0.42,1015715.9966666667
2018-06,901542.65,-11.58,978825.2766666668
2018-07,902701.43,0.13,941287.79
2018-08,871164.52,-3.49,891802.8666666668
